test_patient,cohort,mode,horizon,model,rmse,mae,zone_a,epochs
591,2018,per_patient_scaled,15min,Autoencoder,15.705839157104492,9.637289047241211,94.06049900640318,53.0
591,2018,per_patient_scaled,15min,TCN,19.343738555908203,10.749957084655762,92.37506439979391,15.0
591,2018,per_patient_scaled,15min,Transformer,16.226720809936523,9.900961875915527,93.73666004268786,50.0
591,2018,per_patient_scaled,30min,RF,25.410998727091282,17.3386613677426,81.05542062265401,
591,2018,per_patient_scaled,30min,LSTM,24.94121551513672,16.83407211303711,82.07845734893648,33.0
591,2018,per_patient_scaled,30min,Autoencoder,24.99713706970215,16.976831436157227,81.85765805549423,53.0
591,2018,per_patient_scaled,30min,TCN,27.63425064086914,19.160484313964844,77.831750938397,15.0
591,2018,per_patient_scaled,30min,Transformer,25.55548667907715,17.114377975463867,81.75461838522116,50.0
591,2018,per_patient_scaled,45min,RF,32.82650062522111,23.57107380403539,70.47177449032164,
591,2018,per_patient_scaled,45min,LSTM,32.32544708251953,23.01361083984375,71.39913152277913,33.0
591,2018,per_patient_scaled,45min,Autoencoder,32.338951110839844,23.240108489990234,70.56009420769854,53.0
591,2018,per_patient_scaled,45min,TCN,35.766807556152344,25.982074737548828,66.16618826819754,15.0
591,2018,per_patient_scaled,45min,Transformer,32.85750198364258,23.11640739440918,71.17097225288879,50.0
540,2020,per_patient_scaled,15min,RF,12.20284066320304,8.281776201616687,95.6955876399946,
540,2020,per_patient_scaled,15min,LSTM,11.85253620147705,8.14007568359375,96.08015112670356,32.0
540,2020,per_patient_scaled,15min,Autoencoder,12.054712295532227,8.35224723815918,95.89798947510458,55.0
540,2020,per_patient_scaled,15min,TCN,15.540542602539062,9.00495433807373,95.32451760895965,18.0
540,2020,per_patient_scaled,15min,Transformer,12.63513469696045,8.497264862060547,95.18283632438268,70.0
540,2020,per_patient_scaled,30min,RF,23.004296278548047,16.384809448916066,80.46822291188774,
540,2020,per_patient_scaled,30min,LSTM,22.309646606445312,15.834757804870605,81.4127648090676,32.0
540,2020,per_patient_scaled,30min,Autoencoder,22.21985626220703,15.85828685760498,81.47348535960059,55.0
540,2020,per_patient_scaled,30min,TCN,24.662214279174805,17.350576400756836,78.72082040210498,18.0
540,2020,per_patient_scaled,30min,Transformer,23.19650650024414,16.2281494140625,80.47496963972473,70.0
540,2020,per_patient_scaled,45min,RF,32.04504338439524,23.507101153885543,66.07070570773175,
540,2020,per_patient_scaled,45min,LSTM,31.3150577545166,22.741697311401367,68.95830522196735,32.0
540,2020,per_patient_scaled,45min,Autoencoder,31.203895568847656,22.77764320373535,68.48603427337741,55.0
540,2020,per_patient_scaled,45min,TCN,33.829368591308594,24.747440338134766,63.5609229523681,18.0
540,2020,per_patient_scaled,45min,Transformer,32.18269729614258,23.11406135559082,68.73566320334638,70.0
544,2020,per_patient_scaled,15min,RF,11.445074977002792,7.8568003520213745,97.85269164351678,
544,2020,per_patient_scaled,15min,LSTM,11.29365062713623,7.795462608337402,97.66498986410392,37.0
544,2020,per_patient_scaled,15min,Autoencoder,11.353894233703613,7.911771774291992,97.80013514528117,44.0
544,2020,per_patient_scaled,15min,TCN,12.81041431427002,8.77553653717041,96.69644868233351,27.0
544,2020,per_patient_scaled,15min,Transformer,11.869648933410645,8.11776065826416,97.83016742998724,59.0
544,2020,per_patient_scaled,30min,RF,19.807083958357566,14.397320814303455,89.18086943464225,
544,2020,per_patient_scaled,30min,LSTM,19.20503044128418,13.77355670928955,90.53232224641489,37.0
544,2020,per_patient_scaled,30min,Autoencoder,19.224088668823242,13.942612648010254,90.53983031759141,44.0
544,2020,per_patient_scaled,30min,TCN,21.508140563964844,15.717384338378906,85.26165628050154,27.0
544,2020,per_patient_scaled,30min,Transformer,19.737537384033203,14.035233497619629,90.53983031759141,59.0
544,2020,per_patient_scaled,45min,RF,28.011835376158615,20.779272230601833,77.03281027104137,
544,2020,per_patient_scaled,45min,LSTM,26.639698028564453,19.376461029052734,80.74179743223966,37.0
544,2020,per_patient_scaled,45min,Autoencoder,26.688589096069336,19.792844772338867,79.44290111870261,44.0
544,2020,per_patient_scaled,45min,TCN,29.57000732421875,22.060789108276367,73.21120204219535,27.0
544,2020,per_patient_scaled,45min,Transformer,27.136106491088867,19.591402053833008,81.10969291988889,59.0
